Number,Name,Type,Value,Query,Note,Role,Depend On
41,s_view.tap_users_sales,View,"-- s_view.tap_users_sales source CREATE OR REPLACE VIEW s_view.tap_users_sales AS WITH users AS ( SELECT DISTINCT tu.created_at, tu.updated_at, tu.deleted_at, tu.deactivation_date, tu.joining_date, tu.id, tu.nik_pcs, tu.username, tu.email, tu.nama_lengkap, tu.referral_code, tc.name AS company, tu.leader_id, tr.name AS role, tu.ro_mavis_id, GREATEST(tu.cdc_sync_at_utc, tc.cdc_sync_at_utc, tmhr.cdc_sync_at_utc, tr.cdc_sync_at_utc) AS cdc_sync_at_utc FROM s_cdc_tap.users tu LEFT JOIN s_cdc_tap.companies tc ON tc.id = tu.company_id LEFT JOIN s_cdc_tap.model_has_roles tmhr ON tmhr.model_id = tu.id LEFT JOIN s_cdc_tap.roles tr ON tr.id = tmhr.role_id ), users_sales AS ( SELECT DISTINCT ON (u.id) u.created_at, u.updated_at, u.deleted_at, u.deactivation_date, u.joining_date, u.id, u.nik_pcs, u.username, u.email, u.nama_lengkap, u.referral_code, u.company, u.role, u.leader_id, l.id AS sales_leader_id, l.nama_lengkap AS leader_name, m.id AS sales_manager_id, m.nama_lengkap AS manager_name, h.id AS sales_head_id, h.nama_lengkap AS head_name, trm.name AS area, GREATEST(u.cdc_sync_at_utc, l.cdc_sync_at_utc, m.cdc_sync_at_utc, h.cdc_sync_at_utc, trm.cdc_sync_at_utc) AS cdc_sync_at_utc FROM users u LEFT JOIN users l ON l.id = u.leader_id AND l.role = 'Leader'::text LEFT JOIN users m ON m.id = l.leader_id AND m.role ~~ '%Manager%'::text LEFT JOIN users h ON h.id = m.leader_id AND h.role = 'Head'::text LEFT JOIN s_cdc_tap.ro_mavis trm ON trm.id = h.ro_mavis_id WHERE u.role = 'Sales'::text ORDER BY u.id, (GREATEST(u.cdc_sync_at_utc, l.cdc_sync_at_utc, m.cdc_sync_at_utc, h.cdc_sync_at_utc, trm.cdc_sync_at_utc)) DESC ), users_leader AS ( SELECT DISTINCT ON (u.id) u.created_at, u.updated_at, u.deleted_at, u.deactivation_date, u.joining_date, u.id, u.nik_pcs, u.username, u.email, u.nama_lengkap, u.referral_code, u.company, u.role, u.leader_id, u.id AS sales_leader_id, u.nama_lengkap AS leader_name, m.id AS sales_manager_id, m.nama_lengkap AS manager_name, h.id AS sales_head_id, h.nama_lengkap AS head_name, trm.name AS area, GREATEST(u.cdc_sync_at_utc, m.cdc_sync_at_utc, h.cdc_sync_at_utc, trm.cdc_sync_at_utc) AS cdc_sync_at_utc FROM users u LEFT JOIN users m ON m.id = u.leader_id AND m.role ~~ '%Manager%'::text LEFT JOIN users h ON h.id = m.leader_id AND h.role = 'Head'::text LEFT JOIN s_cdc_tap.ro_mavis trm ON trm.id = h.ro_mavis_id WHERE u.role = 'Leader'::text ORDER BY u.id, (GREATEST(u.cdc_sync_at_utc, m.cdc_sync_at_utc, h.cdc_sync_at_utc, trm.cdc_sync_at_utc)) DESC ), users_manager AS ( SELECT DISTINCT ON (u.id) u.created_at, u.updated_at, u.deleted_at, u.deactivation_date, u.joining_date, u.id, u.nik_pcs, u.username, u.email, u.nama_lengkap, u.referral_code, u.company, u.role, u.leader_id, u.id AS sales_leader_id, u.nama_lengkap AS leader_name, u.id AS sales_manager_id, u.nama_lengkap AS manager_name, h.id AS sales_head_id, h.nama_lengkap AS head_name, trm.name AS area, GREATEST(u.cdc_sync_at_utc, h.cdc_sync_at_utc, trm.cdc_sync_at_utc) AS cdc_sync_at_utc FROM users u LEFT JOIN users h ON h.id = u.leader_id AND h.role = 'Head'::text LEFT JOIN s_cdc_tap.ro_mavis trm ON trm.id = h.ro_mavis_id WHERE u.role ~~ '%Manager%'::text ORDER BY u.id, (GREATEST(u.cdc_sync_at_utc, h.cdc_sync_at_utc, trm.cdc_sync_at_utc)) DESC ), users_head AS ( SELECT DISTINCT ON (u.id) u.created_at, u.updated_at, u.deleted_at, u.deactivation_date, u.joining_date, u.id, u.nik_pcs, u.username, u.email, u.nama_lengkap, u.referral_code, u.company, u.role, u.leader_id, u.id AS sales_leader_id, u.nama_lengkap AS leader_name, u.id AS sales_manager_id, u.nama_lengkap AS manager_name, u.id AS sales_head_id, u.nama_lengkap AS head_name, trm.name AS area, GREATEST(u.cdc_sync_at_utc, trm.cdc_sync_at_utc) AS cdc_sync_at_utc FROM users u LEFT JOIN s_cdc_tap.ro_mavis trm ON trm.id = u.ro_mavis_id WHERE u.role = 'Head'::text ORDER BY u.id, (GREATEST(u.cdc_sync_at_utc, trm.cdc_sync_at_utc)) DESC ) SELECT users_sales.created_at, users_sales.updated_at, users_sales.deleted_at, users_sales.deactivation_date, users_sales.joining_date, users_sales.id, users_sales.nik_pcs, users_sales.username, users_sales.email, users_sales.nama_lengkap, users_sales.referral_code, users_sales.company, users_sales.role, users_sales.leader_id, users_sales.sales_leader_id, users_sales.leader_name, users_sales.sales_manager_id, users_sales.manager_name, users_sales.sales_head_id, users_sales.head_name, users_sales.area, users_sales.cdc_sync_at_utc FROM users_sales UNION SELECT users_leader.created_at, users_leader.updated_at, users_leader.deleted_at, users_leader.deactivation_date, users_leader.joining_date, users_leader.id, users_leader.nik_pcs, users_leader.username, users_leader.email, users_leader.nama_lengkap, users_leader.referral_code, users_leader.company, users_leader.role, users_leader.leader_id, users_leader.sales_leader_id, users_leader.leader_name, users_leader.sales_manager_id, users_leader.manager_name, users_leader.sales_head_id, users_leader.head_name, users_leader.area, users_leader.cdc_sync_at_utc FROM users_leader UNION SELECT users_manager.created_at, users_manager.updated_at, users_manager.deleted_at, users_manager.deactivation_date, users_manager.joining_date, users_manager.id, users_manager.nik_pcs, users_manager.username, users_manager.email, users_manager.nama_lengkap, users_manager.referral_code, users_manager.company, users_manager.role, users_manager.leader_id, users_manager.sales_leader_id, users_manager.leader_name, users_manager.sales_manager_id, users_manager.manager_name, users_manager.sales_head_id, users_manager.head_name, users_manager.area, users_manager.cdc_sync_at_utc FROM users_manager UNION SELECT users_head.created_at, users_head.updated_at, users_head.deleted_at, users_head.deactivation_date, users_head.joining_date, users_head.id, users_head.nik_pcs, users_head.username, users_head.email, users_head.nama_lengkap, users_head.referral_code, users_head.company, users_head.role, users_head.leader_id, users_head.sales_leader_id, users_head.leader_name, users_head.sales_manager_id, users_head.manager_name, users_head.sales_head_id, users_head.head_name, users_head.area, users_head.cdc_sync_at_utc FROM users_head;",,dijoin,,"[54,55,39,56,57]"
42,s_cdc_tap.districts,Table,"CREATE TABLE s_cdc_tap.districts ( id text NOT NULL, regency_id int8 NULL, ""name"" text NOT NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT districts_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_tap_districts_cdc_sync_at_utc ON s_cdc_tap.districts USING btree (cdc_sync_at_utc); CREATE INDEX i_cdc_tap_districts_regency_id ON s_cdc_tap.districts USING btree (regency_id);",,,,
43,s_cdc_tap.regencies,Table,"-- s_cdc_tap.regencies definition -- Drop table -- DROP TABLE s_cdc_tap.regencies; CREATE TABLE s_cdc_tap.regencies ( id int8 NOT NULL, province_id int8 NULL, ""name"" text NOT NULL, alt_name text NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT regencies_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_tap_regencies_cdc_sync_at_utc ON s_cdc_tap.regencies USING btree (cdc_sync_at_utc); CREATE INDEX i_cdc_tap_regencies_province_id ON s_cdc_tap.regencies USING btree (province_id);",,,,
44,s_cdc_tap.provinces,Table,"CREATE TABLE s_cdc_tap.provinces ( id int8 NOT NULL, ""name"" text NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT provinces_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_tap_provinces_cdc_sync_at_utc ON s_cdc_tap.provinces USING btree (cdc_sync_at_utc);",,,,
45,s_cdc_tap.pose_subscriptions,Table,"CREATE TABLE s_cdc_tap.pose_subscriptions ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, username text NOT NULL, ""period"" int8 NULL, unit text NULL, last_payment_method text NULL, expired_at timestamp(6) NULL, referral_code text NULL, has_upcoming_subscription int2 DEFAULT 0 NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, qr_set_installation_date timestamp(6) NULL, deposit int8 NULL, add_on text NULL, ""plan"" text NULL, CONSTRAINT pose_subscriptions_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_tap_pose_subscriptions_cdc_sync_at_utc ON s_cdc_tap.pose_subscriptions USING btree (cdc_sync_at_utc); CREATE INDEX i_cdc_tap_pose_subscriptions_created_at ON s_cdc_tap.pose_subscriptions USING btree (created_at); CREATE INDEX i_cdc_tap_pose_subscriptions_expired_at ON s_cdc_tap.pose_subscriptions USING btree (expired_at); CREATE INDEX i_cdc_tap_pose_subscriptions_has_upcoming_subscription ON s_cdc_tap.pose_subscriptions USING btree (has_upcoming_subscription); CREATE INDEX i_cdc_tap_pose_subscriptions_last_payment_method ON s_cdc_tap.pose_subscriptions USING btree (last_payment_method); CREATE INDEX i_cdc_tap_pose_subscriptions_referral_code ON s_cdc_tap.pose_subscriptions USING btree (""left""(referral_code, 10)); CREATE INDEX i_cdc_tap_pose_subscriptions_username ON s_cdc_tap.pose_subscriptions USING btree (username);",,,,
46,s_cdc_tap.merchants,Table,"-- s_cdc_tap.merchants definition -- Drop table -- DROP TABLE s_cdc_tap.merchants; CREATE TABLE s_cdc_tap.merchants ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, mid text NULL, mavis_ro_id int8 NULL, merchant_name text NOT NULL, merchant_category text NOT NULL, address text NOT NULL, pic text NOT NULL, pic_phone text NOT NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT merchants_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_tap_merchants_cdc_sync_at_utc ON s_cdc_tap.merchants USING btree (cdc_sync_at_utc); CREATE INDEX i_cdc_tap_merchants_created_at ON s_cdc_tap.merchants USING btree (created_at); CREATE INDEX i_cdc_tap_merchants_mavis_ro_id ON s_cdc_tap.merchants USING btree (mavis_ro_id); CREATE INDEX i_cdc_tap_merchants_mid ON s_cdc_tap.merchants USING btree (""left""(mid, 15));",,,,
47,s_cdc_tap.pose_subscription_histories,Table,"-- s_cdc_tap.pose_subscription_histories definition -- Drop table -- DROP TABLE s_cdc_tap.pose_subscription_histories; CREATE TABLE s_cdc_tap.pose_subscription_histories ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, pose_subscription_id int8 NULL, order_id text NULL, ""period"" int8 NULL, unit text NULL, payment_method text NULL, price int8 NULL, subscribe_at timestamp(6) NULL, expired_at timestamp(6) NULL, payment_at timestamp(6) NULL, status int8 NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, referral_code text NULL, deposit int8 NULL, add_on text NULL, ""plan"" text NULL, CONSTRAINT pose_subscription_histories_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_tap_pose_subscription_histories_cdc_sync_at_utc ON s_cdc_tap.pose_subscription_histories USING btree (cdc_sync_at_utc); CREATE INDEX i_cdc_tap_pose_subscription_histories_created_at ON s_cdc_tap.pose_subscription_histories USING btree (created_at); CREATE INDEX i_cdc_tap_pose_subscription_histories_expired_at ON s_cdc_tap.pose_subscription_histories USING btree (expired_at); CREATE INDEX i_cdc_tap_pose_subscription_histories_order_id ON s_cdc_tap.pose_subscription_histories USING btree (order_id); CREATE INDEX i_cdc_tap_pose_subscription_histories_payment_at ON s_cdc_tap.pose_subscription_histories USING btree (payment_at); CREATE INDEX i_cdc_tap_pose_subscription_histories_payment_method ON s_cdc_tap.pose_subscription_histories USING btree (payment_method); CREATE INDEX i_cdc_tap_pose_subscription_histories_pose_subscription_id ON s_cdc_tap.pose_subscription_histories USING btree (pose_subscription_id); CREATE INDEX i_cdc_tap_pose_subscription_histories_status ON s_cdc_tap.pose_subscription_histories USING btree (status); CREATE INDEX i_cdc_tap_pose_subscription_histories_subscribe_at ON s_cdc_tap.pose_subscription_histories USING btree (subscribe_at);",,,,
48,s_cdc_subscription.subs_detail_logs,Table,"-- s_cdc_subscription.subs_detail_logs definition -- Drop table -- DROP TABLE s_cdc_subscription.subs_detail_logs; CREATE TABLE s_cdc_subscription.subs_detail_logs ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, subs_log_id int8 NOT NULL, package_service_id int8 NOT NULL, qty int8 NOT NULL, price int8 NOT NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT subs_detail_logs_pkey PRIMARY KEY (id) );",,,,
49,s_cdc_subscription.package_services,Table,"-- s_cdc_subscription.package_services definition -- Drop table -- DROP TABLE s_cdc_subscription.package_services; CREATE TABLE s_cdc_subscription.package_services ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, service_id int8 NOT NULL, ""name"" text NOT NULL, description text NOT NULL, detail text NULL, price int8 NOT NULL, guarantee_cost int8 DEFAULT 0 NOT NULL, uom text NULL, ""type"" text DEFAULT 'fixed'::text NOT NULL, is_add_on int2 DEFAULT 0 NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT package_services_pkey PRIMARY KEY (id) );",,,,
50,s_cdc_subscription.subs_logs,Table,"-- s_cdc_subscription.subs_logs definition -- Drop table -- DROP TABLE s_cdc_subscription.subs_logs; CREATE TABLE s_cdc_subscription.subs_logs ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, user_id int8 NULL, package_sub_id int8 NULL, is_paid int2 DEFAULT 0 NULL, is_first_time int2 NULL, payment_method text NULL, payment_date timestamp(6) NULL, start_date timestamp(6) NULL, expired_date timestamp(6) NULL, bank_code text NULL, bank_name text NULL, adm_fee int8 NULL, payment_link text NULL, order_id text NULL, tax int8 NULL, total_price int8 NULL, ""type"" int2 NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, referral_code text NULL, payment_expired timestamp(6) NULL, voucher_type text NULL, voucher_value int8 NULL, CONSTRAINT subs_logs_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_subscription_subs_logs_created_at ON s_cdc_subscription.subs_logs USING btree (created_at); CREATE INDEX i_cdc_subscription_subs_logs_expired_date ON s_cdc_subscription.subs_logs USING btree (expired_date); CREATE INDEX i_cdc_subscription_subs_logs_is_paid ON s_cdc_subscription.subs_logs USING btree (is_paid); CREATE INDEX i_cdc_subscription_subs_logs_package_sub_id ON s_cdc_subscription.subs_logs USING btree (package_sub_id); CREATE INDEX i_cdc_subscription_subs_logs_user_id ON s_cdc_subscription.subs_logs USING btree (user_id);",,,,
51,s_cdc_subscription.package_subs,Table,"-- s_cdc_subscription.package_subs definition -- Drop table -- DROP TABLE s_cdc_subscription.package_subs; CREATE TABLE s_cdc_subscription.package_subs ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, ""period"" int8 NULL, uom text NULL, price int8 NULL, active int2 DEFAULT 0 NULL, bonus int8 NULL, code text NULL, start_at timestamp(6) NULL, end_at timestamp(6) NULL, ""type"" int2 NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, service_id int8 NULL, CONSTRAINT package_subs_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_subscription_package_subs_created_at ON s_cdc_subscription.package_subs USING btree (created_at);",,,,
52,s_cdc_subscription.users,Table,"-- s_cdc_subscription.users definition -- Drop table -- DROP TABLE s_cdc_subscription.users; CREATE TABLE s_cdc_subscription.users ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, email text NULL, username text NULL, fullname text NULL, ""password"" text NULL, no_hp text NULL, pin int8 NULL, firebase_id text NULL, wallet float8 NULL, access_token text NULL, refresh_token text NULL, ""type"" int2 NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT users_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_subscription_users_created_at ON s_cdc_subscription.users USING btree (created_at);",,,,
53,s_cdc_pose.users,Table,"-- s_cdc_pose.users definition -- Drop table -- DROP TABLE s_cdc_pose.users; CREATE TABLE s_cdc_pose.users ( id int8 NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, ""name"" text NULL, email text NULL, username text NULL, ""password"" text NULL, phone text NULL, store_id int8 NULL, merchant_id int8 NULL, status int2 NULL, longitude float8 NULL, latitude float8 NULL, role_id int8 NULL, acl text NULL, failed_attempt int8 DEFAULT 0 NULL, ban timestamp(6) NULL, ""token"" text NULL, app_version text NULL, client_id int8 NULL, token_password text NULL, company_id int8 NULL, is_mobile int2 NULL, region_office_id int8 NULL, sn text NULL, is_subscription int2 NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, warehouse_id int8 NULL, CONSTRAINT users_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_pose_users_cdc_sync_at_utc ON s_cdc_pose.users USING btree (cdc_sync_at_utc); CREATE INDEX i_cdc_pose_users_client_id ON s_cdc_pose.users USING btree (client_id); CREATE INDEX i_cdc_pose_users_company_id ON s_cdc_pose.users USING btree (company_id); CREATE INDEX i_cdc_pose_users_created_at ON s_cdc_pose.users USING btree (created_at); CREATE INDEX i_cdc_pose_users_merchant_id ON s_cdc_pose.users USING btree (merchant_id); CREATE INDEX i_cdc_pose_users_region_office_id ON s_cdc_pose.users USING btree (region_office_id); CREATE INDEX i_cdc_pose_users_role_id ON s_cdc_pose.users USING btree (role_id); CREATE INDEX i_cdc_pose_users_store_id ON s_cdc_pose.users USING btree (store_id);",,,,
54,s_cdc_tap.companies,Table,"CREATE TABLE s_cdc_tap.companies ( id int8 NOT NULL, ""name"" text NOT NULL, created_at timestamp(6) NULL, updated_at timestamp(6) NULL, deleted_at timestamp(6) NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT companies_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_tap_companies_cdc_sync_at_utc ON s_cdc_tap.companies USING btree (cdc_sync_at_utc); CREATE INDEX i_cdc_tap_companies_created_at ON s_cdc_tap.companies USING btree (created_at);",,,,
55,s_cdc_tap.model_has_roles,Table,"-- s_cdc_tap.model_has_roles definition -- Drop table -- DROP TABLE s_cdc_tap.model_has_roles; CREATE TABLE s_cdc_tap.model_has_roles ( role_id int8 NOT NULL, model_id int8 NOT NULL, model_type text DEFAULT 'AppModelsUser'::text NOT NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT model_has_roles_pkey PRIMARY KEY (role_id, model_id, model_type) ); CREATE INDEX i_cdc_tap_model_has_roles_cdc_sync_at_utc ON s_cdc_tap.model_has_roles USING btree (cdc_sync_at_utc);",,,,
56,s_cdc_tap.roles,Table,"-- s_cdc_tap.roles definition -- Drop table -- DROP TABLE s_cdc_tap.roles; CREATE TABLE s_cdc_tap.roles ( id int8 NOT NULL, ""name"" text NOT NULL, created_at timestamptz(6) NULL, updated_at timestamptz(6) NULL, deleted_at timestamp(6) NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT roles_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_tap_roles_cdc_sync_at_utc ON s_cdc_tap.roles USING btree (cdc_sync_at_utc); CREATE INDEX i_cdc_tap_roles_created_at ON s_cdc_tap.roles USING btree (created_at); CREATE INDEX i_cdc_tap_roles_name ON s_cdc_tap.roles USING btree (name);",,,,
57,s_cdc_tap.users,Table,"-- s_cdc_tap.users definition -- Drop table -- DROP TABLE s_cdc_tap.users; CREATE TABLE s_cdc_tap.users ( id int8 NOT NULL, username text NULL, nama_lengkap text NULL, phone text NULL, email text NULL, nik_pcs text NOT NULL, jenis_recuirement int8 NULL, status int8 DEFAULT 1 NOT NULL, kantor_wilayah text NULL, joining_date date NULL, photo_profile text DEFAULT 'default.png'::text NOT NULL, email_verified_at timestamptz(6) NULL, ""password"" text NULL, api_token text NULL, remember_token text NULL, created_at timestamptz(6) NULL, updated_at timestamptz(6) NULL, leader_id int8 NULL, deleted_at timestamp(6) NULL, company_id int8 NULL, bank_id int8 NULL, referral_code text NULL, user_tag_id int8 NULL, ro_mavis_id int8 NULL, deactivation_date timestamp(6) NULL, scheme_id int8 NULL, user_group_id int8 NULL, __deleted text NULL, cdc_sync_at_utc timestamp(6) NULL, CONSTRAINT users_pkey PRIMARY KEY (id) ); CREATE INDEX i_cdc_tap_users_bank_id ON s_cdc_tap.users USING btree (bank_id); CREATE INDEX i_cdc_tap_users_cdc_sync_at_utc ON s_cdc_tap.users USING btree (cdc_sync_at_utc); CREATE INDEX i_cdc_tap_users_company_id ON s_cdc_tap.users USING btree (company_id); CREATE INDEX i_cdc_tap_users_created_at ON s_cdc_tap.users USING btree (created_at); CREATE INDEX i_cdc_tap_users_deactivation_date ON s_cdc_tap.users USING btree (deactivation_date); CREATE INDEX i_cdc_tap_users_joining_date ON s_cdc_tap.users USING btree (joining_date); CREATE INDEX i_cdc_tap_users_leader_id ON s_cdc_tap.users USING btree (leader_id); CREATE INDEX i_cdc_tap_users_referral_code ON s_cdc_tap.users USING btree (""left""(referral_code, 10)); CREATE INDEX i_cdc_tap_users_ro_mavis_id ON s_cdc_tap.users USING btree (ro_mavis_id); CREATE INDEX i_cdc_tap_users_scheme_id ON s_cdc_tap.users USING btree (scheme_id); CREATE INDEX i_cdc_tap_users_status ON s_cdc_tap.users USING btree (status); CREATE INDEX i_cdc_tap_users_user_group_id ON s_cdc_tap.users USING btree (user_group_id); CREATE INDEX i_cdc_tap_users_user_tag_id ON s_cdc_tap.users USING btree (user_tag_id); CREATE INDEX i_cdc_tap_users_username ON s_cdc_tap.users USING btree (username);",,,,
